,Aplodontia rufa,Arborimus albipes,Bassariscus astutus,Canis latrans,Didelphis virginiana,Dipodomys californicus,Erethizon dorsatum,Glaucomys sabrinus,Lepus americanus,Lepus californicus,Lepus townsendii,Lontra canadensis,Lynx rufus,Martes americana,Martes pennanti,Mephitis mephitis,Microtus,Mustela erminea,Mustela frenata,Myodes californicus,Neotoma,Neovison vison,Neurotrichus gibbsii,Ochotona princeps,Ondatra zibethicus,Peromyscus,Procyon lotor,Reithrodontomys megalotis,Scapanus latimanus,Scapanus orarius,Sciurus griseus,Sciurus niger,Sorex,Spermophilus beecheyi,Spermophilus beldingi,Spermophilus lateralis,Spilogale gracilis,Sylvilagus audubonii,Sylvilagus bachmani,Sylvilagus nuttallii,Tamias ,Tamiasciurus douglasii,Taxidea taxus,Thomomys,Thomomys bottae,Thomomys mazama,Urocyon cinereoargenteus,Vulpes vulpes,Zapus princeps
128901,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,5,NA,NA,NA,NA,24,NA,0,1,NA,0,NA,4,1,NA,0,NA,NA,NA,NA,1,1,NA,19,3,0,NA,NA,NA
128902,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,9,NA,NA,NA,NA,33,NA,1,1,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,0,1,NA,27,5,0,NA,NA,NA
128903,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,4,NA,NA,NA,NA,24,NA,1,2,NA,1,NA,2,1,NA,0,NA,NA,NA,NA,0,1,NA,25,1,0,NA,NA,NA
128904,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,6,NA,NA,NA,NA,38,NA,1,3,NA,2,NA,3,2,NA,1,NA,NA,NA,NA,1,2,NA,48,3,0,NA,NA,NA
128905,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,4,NA,NA,NA,NA,34,NA,0,2,NA,1,NA,6,1,NA,0,NA,NA,NA,NA,1,1,NA,33,3,2,NA,NA,NA
128906,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,4,NA,NA,NA,NA,20,NA,0,1,NA,1,NA,0,1,NA,1,NA,NA,NA,NA,0,1,NA,20,1,0,NA,NA,NA
128907,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,7,NA,NA,NA,NA,32,NA,0,1,NA,1,NA,2,2,NA,1,NA,NA,NA,NA,0,1,NA,28,1,2,NA,NA,NA
128908,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,4,NA,NA,NA,NA,14,NA,0,0,NA,0,NA,0,1,NA,0,NA,NA,NA,NA,1,0,NA,21,2,0,NA,NA,NA
128909,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,5,NA,NA,NA,NA,22,NA,1,3,NA,1,NA,4,1,NA,1,NA,NA,NA,NA,1,1,NA,23,1,1,NA,NA,NA
128910,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,5,NA,NA,NA,NA,25,NA,0,2,NA,0,NA,0,2,NA,1,NA,NA,NA,NA,1,2,NA,36,1,3,NA,NA,NA
128911,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,5,NA,NA,NA,NA,21,NA,0,2,NA,1,NA,2,1,NA,2,NA,NA,NA,NA,2,1,NA,47,0,2,NA,NA,NA
128912,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,5,NA,NA,NA,NA,16,NA,1,4,NA,0,NA,1,2,NA,1,NA,NA,NA,NA,1,1,NA,36,1,1,NA,NA,NA
128913,1,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,8,NA,NA,NA,NA,19,NA,1,3,NA,1,NA,0,2,NA,3,NA,NA,NA,NA,1,2,NA,62,0,5,NA,NA,NA
128914,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,6,NA,NA,NA,NA,18,NA,0,1,NA,0,NA,4,2,NA,1,NA,NA,NA,NA,1,2,NA,62,1,4,NA,NA,NA
