Level,Age,SD,Arvicola terrestris,Arvicola sapidus,Terricola lusitanicus,Microtus oeconomus,Microtus agrestis,Microtus arvalis,Chionomus nivalis,Clethrionomys glareolus,Pliomys lenki,Microtus gregalis,Apodemus gr sylv. Flav.,Eliomys quercinus,Myoxus glis,Sciurus vulgaris,Sorex minutus,Sorex gr coronatus-aran.,Neomys fodiens,Crocidura russula,Galemys pyrenaicus,Talpa europaea,Erinaceus europaeus,Lagomorpha,Mustela nivalis,Miniopterus schereibersii,Myotis sp.,Chiroptera MNI indet.
1.2,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
2+3,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3-3.4,3700,40,26,0,6,2,7,10,14,2,0,0,37,0,8,0,0,4,2,1,0,7,0,0,0,0,0,1
4,,,2,0,0,0,0,1,0,0,0,0,17,0,8,0,0,2,0,0,0,1,0,0,1,0,0,0
5,3820,240,7,0,0,2,0,2,0,5,0,0,21,0,14,0,0,2,1,0,0,1,0,3,1,0,0,0
6-6.1,,,2,0,0,0,3,0,1,2,0,0,28,1,22,0,0,3,2,0,0,9,0,1,0,0,0,0
7-7.5,3740,120,0,0,0,0,1,0,2,0,0,0,19,1,15,0,0,2,0,2,0,6,1,0,0,0,0,0
8,4680,60,3,0,1,0,1,2,1,10,0,0,31,1,27,0,0,0,4,5,0,7,0,0,0,0,0,1
303-301.1,5520,70,1,0,0,2,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0
10,5570,50,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5690,50,18,1,33,0,21,2,18,19,0,0,337,12,97,0,1,31,14,2,0,19,0,0,1,1,4,0
10.1,8380,175,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1,8700,50,16,0,20,2,15,0,6,4,0,0,100,1,25,1,1,7,5,1,0,8,0,0,1,0,0,0
10.1,9550,50,,,,,,,,,,,,,,,,,,,,,,,,,,
305,10270,50,12,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
